ID,Customer_Id,Invoice_Id,Job_Id,Type,Date,Amount,Taxable,Void,Reference
110116,20903,82486,,INV,2003-05-27 00:00:00,105.11,True,False,
110117,20903,82519,,INV,2003-05-28 00:00:00,31.81,True,False,
110118,20903,82530,,INV,2003-05-28 00:00:00,16.22,True,False,
110119,20903,82597,,INV,2003-05-29 00:00:00,168.23,True,False,
110120,20903,82614,,INV,2003-05-30 00:00:00,3.22,True,False,
110121,20903,82616,,INV,2003-05-30 00:00:00,193.09,True,False,
110122,14904,82842,,INV,2003-06-05 00:00:00,-45.37,True,False,
110123,14904,83069,,INV,2003-06-11 00:00:00,67.99,True,False,
110124,14904,83315,,INV,2003-06-18 00:00:00,170.93,True,False,
110125,14904,83423,,INV,2003-06-20 00:00:00,5.77,True,False,
110126,15804,83313,,INV,2003-06-18 00:00:00,11.4,True,False,
110127,15704,24545,,INV,2003-06-04 00:00:00,39.36,True,False,
110128,15704,82799,,INV,2003-06-04 00:00:00,46.64,True,False,
110129,16904,82686,,INV,2003-06-02 00:00:00,131.97,True,False,
110130,16904,83083,,INV,2003-06-12 00:00:00,85.86,True,False,
110131,16904,83099,,INV,2003-06-12 00:00:00,27.03,True,False,
110132,26704,82738,,INV,2003-06-03 00:00:00,279.95,True,False,
110133,26704,83093,,INV,2003-06-12 00:00:00,392.2,True,False,
110134,26704,83095,,INV,2003-06-12 00:00:00,65.08,True,False,
110135,26704,83541,,INV,2003-06-24 00:00:00,203.15,True,False,
110136,26704,,,PMT,2003-06-27 00:00:00,16448.81,False,False,
110137,29904,82588,,INV,2003-05-29 00:00:00,34.98,True,False,
110138,29904,82967,,INV,2003-06-09 00:00:00,72.87,True,False,
110139,12506,83156,,INV,2003-06-13 00:00:00,35.3,True,False,
110140,29006,82548,,INV,2003-05-28 00:00:00,6.95,False,False,
110141,29006,82682,,INV,2003-05-31 00:00:00,135,False,False,
110142,29006,82841,,INV,2003-06-05 00:00:00,55,False,False,
110143,29006,83580,,INV,2003-06-24 00:00:00,84.97,False,False,
110144,44020,82675,,INV,2003-05-31 00:00:00,791.82,True,False,
110145,44020,82732,,INV,2003-06-03 00:00:00,2540.51,False,False,
110146,44020,82741,,INV,2003-06-03 00:00:00,1812.07,True,False,
110147,44020,24548,,INV,2003-06-04 00:00:00,1812.07,True,False,
110148,44020,82824,,INV,2003-06-04 00:00:00,842.7,True,False,
110149,44020,82832,,INV,2003-06-05 00:00:00,2339.98,False,False,
110150,44020,82831,,INV,2003-06-05 00:00:00,2339.98,False,False,
110151,44020,24556,,INV,2003-06-06 00:00:00,1429.94,True,False,
110152,44020,24555,,INV,2003-06-06 00:00:00,842.7,True,False,
110153,44020,82947,,INV,2003-06-09 00:00:00,2339.98,False,False,
110154,44020,82953,,INV,2003-06-09 00:00:00,2500.83,False,False,
110155,44020,83125,,INV,2003-06-12 00:00:00,2339.98,False,False,
110156,44020,83152,,INV,2003-06-13 00:00:00,842.7,True,False,
110157,44020,83243,,INV,2003-06-16 00:00:00,1319.7,True,False,
110158,44020,83293,,INV,2003-06-17 00:00:00,-3719.25,False,False,
110159,11006,83030,,INV,2003-06-11 00:00:00,-314.97,True,False,
110160,70006,83132,,INV,2003-06-13 00:00:00,39.33,True,False,
110161,70006,83199,,INV,2003-06-16 00:00:00,82.72,True,False,
110162,70006,83351,,INV,2003-06-19 00:00:00,99.66,True,False,
110163,70006,83586,,INV,2003-06-25 00:00:00,324.83,True,False,
110164,72506,82660,,INV,2003-05-31 00:00:00,129.92,True,False,
110165,12007,24547,,INV,2003-06-04 00:00:00,362.73,True,False,
110166,12007,82945,,INV,2003-06-07 00:00:00,1004.56,True,False,
110167,12007,83177,,INV,2003-06-14 00:00:00,2031.86,True,False,
110168,12007,83246,,INV,2003-06-16 00:00:00,-1036.81,True,False,
110169,12007,83224,,INV,2003-06-16 00:00:00,502.02,True,False,
110170,12007,83223,,INV,2003-06-16 00:00:00,1541.77,True,False,
110171,20807,83034,,INV,2003-06-11 00:00:00,109.38,True,False,
110172,20807,83160,,INV,2003-06-13 00:00:00,9.12,True,False,
110173,81507,83054,,INV,2003-06-11 00:00:00,0,True,False,
110174,81507,82948,,INV,2003-06-09 00:00:00,7270.86,False,False,
110175,91007,83537,,INV,2003-06-24 00:00:00,66.78,True,False,
110176,20010,24533,,INV,2003-05-27 00:00:00,17.2,True,False,
110177,20010,82896,,INV,2003-06-06 00:00:00,18.69,True,False,
110178,20010,82961,,INV,2003-06-09 00:00:00,69.05,True,False,
110179,20010,83212,,INV,2003-06-16 00:00:00,86.88,True,False,
110180,20010,83250,,INV,2003-06-16 00:00:00,65.6,True,False,
110181,37510,83611,,INV,2003-06-24 00:00:00,8.43,False,False,
110182,40110,82554,,INV,2003-05-28 00:00:00,113.61,False,False,
110183,9010,00000,,INT,2003-06-30 00:00:00,0.67,False,False,
110184,56010,,,PMT,2003-06-11 00:00:00,23.52,False,False,
110185,71010,82764,,INV,2003-06-03 00:00:00,80.45,True,False,
110186,72210,24541,,INV,2003-06-02 00:00:00,656.88,True,False,
110187,72210,83454,,INV,2003-06-21 00:00:00,234.78,True,False,
110188,72210,83671,,INV,2003-06-26 00:00:00,126.56,True,False,
110189,2011,82950,,INV,2003-06-09 00:00:00,82.15,True,False,
110190,11011,82543,,INV,2003-05-28 00:00:00,679.3,True,False,
110191,11011,83444,,INV,2003-06-20 00:00:00,2779.99,True,False,
