ledger_id,customer_id,statement_date,ledger_date,amount,type_id,reference,ledger_order
62098,28204,2/1/2025,1/6/2025,1332.81,1,,84398
62100,25014,2/1/2025,1/6/2025,-36.99,3,,84413
62102,2205,2/1/2025,1/7/2025,1225.6,1,,84403
62108,28204,2/1/2025,1/8/2025,-7985.79,3,,84399
62117,10016,2/1/2025,1/10/2025,-963.15,3,,84421
62121,13103,2/1/2025,1/13/2025,267.1,1,,84395
62123,2205,2/1/2025,1/13/2025,617.28,1,,84404
62129,21020,2/1/2025,1/13/2025,-5036.76,3,,84428
62137,28703,2/1/2025,1/14/2025,-162.5,3,,84394
62138,28003,2/1/2025,1/14/2025,23.88,1,,84391
62144,10016,2/1/2025,1/15/2025,41.15,1,eileen,84417
62147,12512,2/1/2025,1/8/2025,-1204.32,3,,84406
62149,28003,2/1/2025,1/15/2025,22.34,1,,84392
62153,12512,2/1/2025,1/16/2025,38.04,1,,84407
62155,37510,2/1/2025,1/16/2025,24,2,,84405
62159,46017,2/1/2025,1/17/2025,287.89,1,,84422
62162,8502,2/1/2025,1/17/2025,-127.95,3,,84387
62164,8502,2/1/2025,1/17/2025,248.44,1,,84388
62167,10016,2/1/2025,1/17/2025,62.86,1,4 edgmr,84418
62168,55001,2/1/2025,1/18/2025,10.95,2,,84385
62171,2514,2/1/2025,1/21/2025,2329.76,1,,84412
62172,25014,2/1/2025,1/21/2025,25.1,2,,84414
62174,20512,2/1/2025,1/21/2025,-563.5,3,,84409
62178,10016,2/1/2025,1/23/2025,2368.61,1,Hoer,84419
62180,40115,2/1/2025,1/23/2025,109.92,1,,84415
62181,99802,2/1/2025,1/23/2025,-911.64,3,,84393
62184,10016,2/1/2025,1/24/2025,42.32,1,NJ ave,84420
62198,17612,2/1/2025,1/27/2025,237.77,1,,84408
62210,55001,2/1/2025,1/29/2025,-840.7,3,,84386
61858,11411,1/1/2025,11/27/2024,95.96,1,,84299
61863,11111,1/1/2025,11/29/2024,450.22,1,,84297
61890,20512,1/1/2025,12/2/2024,563.5,2,25-00226,84307
